Title,Artist,Album,Duration,"Media Type"
Psychomodo,"Steve Harley","The Psychomodo",00:04:05,track
"Make Me Smile (Come Up And See Me)","Steve Harley & Cockney Rebel","It's Glam Rock",00:03:57,track
"Here Comes the Sun","Steve Harley and Cockney Rebel","Glam Stars Vol 2",00:03:00,track
"Get It On","T. Rex","Glam Stars Vol 2",00:04:27,track
"Hot Love","T. Rex","Glam Stars Vol 2",00:04:59,track
"Metal Guru","T. Rex","Oh Yes We Can Love: The History of Glam Rock",00:02:28,track
"Children Of The Revolution","T. Rex","Glam Rock Anthology",00:02:30,track
"Baby Strange","T. Rex","Glam Rock Anthology",00:03:05,track
Lola,"The Kinks","Oh Yes We Can Love: The History of Glam Rock",00:04:10,track
"Baby's On Fire","The Venus In Furs","Velvet Goldmine",00:03:19,track
Bitter-Sweet,"The Venus In Furs","Velvet Goldmine",00:04:54,track
"Music Non Stop",Coma.fm,Unknown,00:00:22,track
"Juke box",Coma.fm,Unknown,00:00:17,track
"For Your Love","Eric Clapton & The Yardbirds","Greatest Hits (The Blues Collection Vol.14)",00:02:30,track
"Jenny Jenny","Little Richard","Rock'N'Roll  - CD 02",00:02:05,track
"Send Me Some Lovin'","Little Richard","Long Tall Sally (The Blues Collection Vol.12)",00:02:15,track
"I Put A Spell On You","Screamin' Jay Hawkins",Unknown,00:02:26,track
"It's Only Make Believe","Screamin' Jay Hawkins","Blues Shouter (The Blues Collection Vol.62)",00:03:19,track
"We Love","Screamin' Jay Hawkins","Blues Shouter (The Blues Collection Vol.62)",00:02:51,track
"Same Damn Thing","Screamin' Jay Hawkins","Blues Shouter (The Blues Collection Vol.62)",00:05:50,track
"Hoochie Coochie Man","Willie Dixon","Little Red Rooster (The Blues Collection Vol.60)",00:02:46,track
"Little Red Rooster","Willie Dixon","Little Red Rooster (The Blues Collection Vol.60)",00:02:25,track
"Mellow Down Easy","Willie Dixon","Little Red Rooster (The Blues Collection Vol.60)",00:02:41,track
"Stormy Monday Blue","T-Bone Walker","The Blues At Christmas 1 (The Blues Collection)",00:02:50,track
"Groovin High (Live - Storyville)","Charlie Parker","50 Best Of Blue Note",00:05:04,track
Ornithology,"Charlie Parker","The Best of Blue Note: A Selection from 25 Best Albums",00:04:25,track
"I Get Along Without You Very Well (Except Sometimes) ","Chet Baker","50 Best Of Blue Note",00:02:57,track
"Holy Thursday","David Axelrod","100 Best Of Blue Note",00:05:27,track
Mother-In-Law,"Ernie K-Doe","60 Rock N Roll Jukebox-CD 2",00:02:34,track
"Hum Drum Blues","Holly Cole  Javon Jackson","100 Best Of Blue Note",00:05:35,track
Spoonful,"Howlin' Wolf","Blues From Hell (Disc 1)",00:02:45,track
"The Red Rooster","Howlin' Wolf",Unknown,00:03:56,track
"Stormy Monday","Joe Carter","The Best Of Blues - CD2",00:05:59,track
"Don`t Look Back","John Lee Hooker","Blues Planet. The Best Of Blues Music",00:04:10,track
"Boom Boom","John Lee Hooker","Plays And Sings The Blues",00:02:36,track
"Stormy Monday Blues","Junior Wells","Blow'n The Blues: Best Of The Great Harp Players",00:04:23,track
"Midnight Blue","Kenny Burrell","The Best of Blue Note: A Selection from 25 Best Albums",00:03:59,track
"It Dont Mean A Thing (If It Aint Got That Swing)","Louis Armstrong And The Duke Ellington Orchestra","50 Best Of Blue Note",00:03:56,track
Why,"Clare Teal",youtube.com/watch?v=X-aOJppftu0,00:05:15,track
"With or without you","Ladiva and Sylvain Daelemans",youtube.com/watch?v=gMkiJdx16EA,00:03:37,track
