Title,Artist,Album,Duration,"Media Type"
"Yesterday When I Was Young","Dusty Springfield","Hits Collection (K2HD)",00:03:40,track
"You Don't Have to Say You Love Me","Dusty Springfield","Hits Collection (K2HD)",00:02:50,track
"The Blues Is Alive And Well","Buddy Guy","The Blues Is Alive And Well",00:05:13,track
"Daughter Of England","Country Joe McDonald",50,00:02:56,track
"Poppa And Momma","Country Joe McDonald",50,00:04:07,track
"Baby Please Don`t Go","IVAN БлюZ І Dрузі",Unknown,00:04:11,track
"After Dark","IVAN БлюZ І Dрузі",Unknown,00:06:04,track
"Before You Accuse Me","IVAN БлюZ І Dрузі",Unknown,00:04:05,track
"Blue Jeans Blues","IVAN БлюZ І Dрузі",Unknown,00:04:40,track
"Blues Is My Business","IVAN БлюZ І Dрузі",Unknown,00:03:28,track
"Boom Boom","IVAN БлюZ І Dрузі",Unknown,00:03:16,track
"Born under bad sign","IVAN БлюZ І Dрузі",Unknown,00:03:31,track
"Futher on up the road","IVAN БлюZ І Dрузі",Unknown,00:03:11,track
"Help Me Through The Day","IVAN БлюZ І Dрузі",Unknown,00:04:51,track
"Hound Dog","IVAN БлюZ І Dрузі",Unknown,00:01:50,track
"Let`s Go Out Tonight","IVAN БлюZ І Dрузі",Unknown,00:04:48,track
"Proud Mary","IVAN БлюZ І Dрузі",Unknown,00:02:37,track
Money,"IVAN БлюZ І Dрузі",Unknown,00:06:20,track
"Slow down","IVAN БлюZ І Dрузі",Unknown,00:04:49,track
"Strange face of love","IVAN БлюZ І Dрузі",Unknown,00:05:52,track
"So many roads","IVAN БлюZ І Dрузі",Unknown,00:06:44,track
"That`s All Right Mama","IVAN БлюZ І Dрузі",Unknown,00:02:52,track
"Suzy Q","IVAN БлюZ І Dрузі",Unknown,00:06:01,track
"Tobacco Road","IVAN БлюZ І Dрузі",Unknown,00:04:42,track
"Woman Across The River","IVAN БлюZ І Dрузі",Unknown,00:03:15,track
"You Don`t Love Me","IVAN БлюZ І Dрузі",Unknown,00:03:03,track
"Mystery Train","Same Old Story Blues Band",Unknown,00:04:30,track
"Thunderstorms and Neon Signs","The Hillbilly Kings",Unknown,00:03:46,track
"Bass Dance","The Root Boys",Unknown,00:05:16,track
"Easy money","The Root Boys",Unknown,00:04:15,track
"Favourite way","The Root Boys",Unknown,00:04:05,track
Moses,"The Root Boys",Unknown,00:02:59,track
Harp,"The Root Boys",Unknown,00:04:27,track
"On the air","The Root Boys",Unknown,00:04:04,track
"Six minutes for rest","The Root Boys",Unknown,00:05:11,track
"Root boy","The Root Boys",Unknown,00:04:16,track
"Sky valley","The Root Boys",Unknown,00:04:32,track
"Зелені очі","Damage Kicks","Ukrabilly Train",00:02:14,track
"Attack Of The Crazy Woodpeckers","Drossabilly Buzz","Ukrabilly Train",00:02:42,track
Ride,"Drossabilly Buzz","Ukrabilly Train",00:03:25,track
"Tell Me Why","Hot Doggers","Ukrabilly Train",00:02:42,track
"Crazy Race","Outer Space","Ukrabilly Train",00:01:56,track
"Де Ти Є","The Cheekybenders","Ukrabilly Train",00:04:09,track
"Ask me why","For Sale Band","King Creole",00:02:22,track
"Waiting for Jesus (To Cleanse My Soul)","Howard Rickard",Unknown,00:04:12,track
"Goin' Out of My head","Percy Faith","Today's Themes For Young Lovers & For Those In Love",00:02:52,track
"Going Out Of My Head","Sergio Mendes and Brasil 66","Greatest Hits",00:03:04,track
"Going Out Of My Head",Zombies,"The Collection",00:03:04,track
"Sunday Morning","Chet Nichols",Unknown,00:03:27,track
"How Did The Folly Begin?","Joe B. Humbled",Unknown,00:02:45,track
"Devil In a Dress","Tami Neilson",Unknown,00:03:06,track
"The white wolf is back in town","Reverend Beat-Man",Unknown,00:04:40,track
"Lost Waves","The Bradipos IV",Unknown,00:02:46,track
"The Steel Valentine","The Bradipos IV",Unknown,00:03:27,track
"Billy Silly Billy","King Kurt","Big Cock",00:04:52,track
"Bye Bye Baby","King Kurt","Alcoholic Rat",00:02:32,track
"First Cock's Crow","King Kurt","Poor Man's Dream",00:02:32,track
"Friendless Lane","King Kurt","Poor Man's Dream",00:02:31,track
Friends,"King Kurt","Poor Man's Dream",00:03:56,track
Horatio,"King Kurt","Big Cock",00:03:37,track
"Hey Mister bartender","King Kurt","Poor Man's Dream",00:04:38,track
"Jungle Feet","King Kurt","America 12''",00:02:33,track
"Momma Kurt","King Kurt","Big Cock",00:02:24,track
"Mack The Knife","King Kurt","The Last Will And Testicle!",00:03:20,track
"Move On","King Kurt","Poor Man's Dream",00:04:15,track
"The Land Of Ring Dang Do","King Kurt","The Last Will And Testicle!",00:03:09,track
"Train Kept A'Rollin'","King Kurt","Poor Man's Dream",00:02:25,track
Numb,"Robyn Adele Anderson",Unknown,00:03:40,track
"Від бедра","Rude Jokes",Unknown,00:03:58,track
"I've got baby","Rude Jokes",Unknown,00:03:33,track
"Не грайся зі мною, мала","Rude Jokes",Unknown,00:04:34,track
"Ствол напрокат","Rude Jokes",Unknown,00:04:37,track
"Свобода в голові","Rude Jokes",Unknown,00:03:56,track
Фіфа,"Rude Jokes",Unknown,00:02:30,track
"A Woman's Pain","Tami Neilson",Unknown,00:02:57,track
"Good Man","Tami Neilson",Unknown,00:05:22,track
"Manitoba Sunrise at Motel 6","Tami Neilson",Unknown,00:04:20,track
"One Thought of You","Tami Neilson",Unknown,00:02:16,track
"Like I love you","The Memphis Suns",Unknown,00:04:05,track
"You pump the gas","The Memphis Suns",Unknown,00:03:17,track
"Baby, Take It Easy","The Wise Guyz","Non-Stop Boogie",00:02:20,track
"Hey, Hey, Little Chick","The Wise Guyz","Non-Stop Boogie",00:02:43,track
Hot-Rod,"The Wise Guyz","Non-Stop Boogie",00:02:24,track
"My Love","The Wise Guyz","Let's Rock The Floor",00:02:51,track
"New Girlfriend Of My Pal","The Wise Guyz","Non-Stop Boogie",00:02:45,track
"Non Stop Boogie","The Wise Guyz","Non-Stop Boogie",00:04:04,track
"Dig My Jive","The Wise Guyz","Dig My Jive",00:02:31,track
"Ducktail Boogie","The Wise Guyz","Dig My Jive",00:02:38,track
"Jumpin' Record","The Wise Guyz","Stay Cool!!",00:02:37,track
"I'm In Love","The Wise Guyz","Dig My Jive",00:04:08,track
"Teenage Rockin'","The Wise Guyz","Dig My Jive",00:02:19,track
"Mean Mean Daddy","The Wise Guyz","Dig My Jive",00:04:50,track
Heart,"The Wise Guyz","Don't Touch My Greasy Hair",00:03:24,track
"Hold Me, Baby","The Wise Guyz","Don't Touch My Greasy Hair",00:03:00,track
"I Wanna Be (With You)","The Wise Guyz","Don't Touch My Greasy Hair",00:03:49,track
"I'm A Fool","The Wise Guyz","Don't Touch My Greasy Hair",00:02:56,track
"I've Kissed You, Baby","The Wise Guyz","Don't Touch My Greasy Hair",00:02:40,track
"Kissin' Is On My Mind","The Wise Guyz","Don't Touch My Greasy Hair",00:03:10,track
"Let's Fly To The Stars","The Wise Guyz","Don't Touch My Greasy Hair",00:04:00,track
"Moonlight In The Dark","The Wise Guyz","Don't Touch My Greasy Hair",00:02:39,track
"Love Me Or Leave Me","The Wise Guyz","Don't Touch My Greasy Hair",00:03:21,track
"Rock Me, Baby","The Wise Guyz","Don't Touch My Greasy Hair",00:02:17,track
"Blood, Love & Rock'n Roll","The Wise Guyz","Stay Cool!!",00:02:57,track
"Do the Stroll","The Wise Guyz","Stay Cool!!",00:02:36,track
"It's Time To Say Goodbye","The Wise Guyz","Stay Cool!!",00:03:34,track
"You My Girl","The Wise Guyz","Stay Cool!!",00:03:51,track
"Jive It Up","The Wise Guyz","Let's Rock The Floor",00:04:13,track
"Lonely And Blue","The Wise Guyz","Let's Rock The Floor",00:02:41,track
"Rockin' New Year","The Wise Guyz","Let's Rock The Floor",00:02:20,track
"What's Wrong With Me","The Wise Guyz","Let's Rock The Floor",00:03:22,track
"You're Getting Too Much","The Wise Guyz","Let's Rock The Floor",00:02:17,track
"Подбадривайте детей",Coma.fm,Unknown,00:00:11,track
"Wild World","Cat Stevens","Tea For The Tillerman",00:03:20,track
"Wild Wild West","Harry Jordan",Unknown,00:03:50,track
"Zamilovana:Je l'aime a mourir","Lenka Filipova",Unknown,00:03:23,track
"Modlitba pro Martu","Marta Kubišová",Unknown,00:04:22,track
"Hope Of Deliverance","Paul McCartney ",Unknown,00:03:33,track
"The Rooster","Mary-Elaine Jenkins",Unknown,00:05:01,track
"No-tell Motel",Jillhouse,Unknown,00:03:31,track
Почуття,Jillhouse,Unknown,00:03:57,track
Chaser,Jillhouse,Unknown,00:03:49,track
Crier,Jillhouse,Unknown,00:03:16,track
Chemistry,Dillberriezz,Unknown,00:02:24,track
"Psycholovin' Land",Dillberriezz,Unknown,00:02:40,track
Twins,Dillberriezz,Unknown,00:02:27,track
Vampire,Dillberriezz,Unknown,00:04:30,track
"Mala Vida","Mano Negra","The Best",00:02:53,track
"Takin'It Up","Mano Negra",Patchanka,00:03:39,track
"La Rançon Du Succès","Mano Negra","Puta's Fever",00:01:57,track
"Pas Assez De Toi","Mano Negra","The Best",00:02:20,track
"King Of Bongo","Mano Negra","King Of Bongo",00:03:38,track
"Out Of Time Man","Mano Negra","The Best",00:03:27,track
"Letter To Censors","Mano Negra","The Best",00:02:31,track
"We Get Around","Little Lesley & The Bloodshots",Heartbeat,00:02:54,track
"You Don't Fool Me","Little Lesley & The Bloodshots",Heartbeat,00:03:40,track
"The Ring","The Route 66 Killers","Revenge of the Flies",00:03:25,track
"Baby Behave","Pepita Slappers","Rocket To The Moon",00:02:26,track
"Ju Ju Man","Pepita Slappers","Rocket To The Moon",00:02:30,track
"Kiss Me One More Time","Pepita Slappers","Rocket To The Moon",00:03:30,track
"Wendy Lou","Pepita Slappers","Rocket To The Moon",00:03:06,track
"Good Intentions",Bullit,Unknown,00:02:40,track
"Quick Draw",Bullit,Unknown,00:02:53,track
Tombstone,Bullit,Unknown,00:03:03,track
"Knife Edge Mind","Clockwork Psycho",Unknown,00:02:57,track
Lost,"Clockwork Psycho",Unknown,00:02:41,track
"Sin & Repent","Clockwork Psycho",Unknown,00:02:45,track
"The Dance","Clockwork Psycho",Unknown,00:02:32,track
"The Americans","Mary-Elaine Jenkins",Unknown,00:05:14,track
"Do the orangutan","Thee Braindrops",Unknown,00:02:14,track
"Freak on a Leash","Robyn Adele Anderson",Unknown,00:03:26,track
Reflecting,"Lucky 757",Unknown,00:02:22,track
"Gloomy Sunday (feat. Nicolle Rochelle)","Hot Sugar Band","Wondering Where",00:03:44,track
"Acorazado Potemkin","The Gagarins",Unknown,00:02:47,track
DRVMCRZ,"The Dice Cubes",Unknown,00:03:26,track
Floored,"The Dice Cubes",Unknown,00:03:16,track
"Come Home","Gal Holiday and the Honky Tonk Revue",Unknown,00:03:06,track
"Desert Disco","Gal Holiday and the Honky Tonk Revue",Unknown,00:02:55,track
"Found Myself Instead","Gal Holiday and the Honky Tonk Revue",Unknown,00:03:03,track
"How Could It Be","Gal Holiday and the Honky Tonk Revue",Unknown,00:02:44,track
"In My Dreams Again","Gal Holiday and the Honky Tonk Revue",Unknown,00:03:33,track
"Let's Run Away","Gal Holiday and the Honky Tonk Revue",Unknown,00:03:07,track
"Loose Diamonds","Gal Holiday and the Honky Tonk Revue",Unknown,00:03:59,track
"The Bottle and the Booze","Gal Holiday and the Honky Tonk Revue",Unknown,00:03:04,track
"Treat You Better","Gal Holiday and the Honky Tonk Revue",Unknown,00:03:45,track
"Martian Girl","The Billy Rats",Unknown,00:02:03,track
"For Your Love","Little Lesley & The Bloodshots",Heartbeat,00:03:26,track
"Call Your Friends","Sam C. Jones",Unknown,00:02:56,track
"Flat Out Like A Lizard Drinkin'","The Flatfoot Shakers","Let's Go To Planet Bop!",00:02:29,track
"Heart Breakin Mama","The Flatfoot Shakers","Flatfoot Shakers",00:02:28,track
Hypnotised,"The Flatfoot Shakers","Many Sides Of The Flatfoot Shakers",00:02:12,track
"Let's Go To Planet Bop","The Flatfoot Shakers","Let's Go To Planet Bop!",00:02:25,track
"Jitter Bop Baby","The Flatfoot Shakers","Flatfoot Shakers",00:01:59,track
Lonesome,"The Flatfoot Shakers","Flatfoot Shakers",00:05:17,track
"Mister Moonlight","The Flatfoot Shakers","Let's Go To Planet Bop!",00:02:20,track
"My Little Baby","The Flatfoot Shakers","Many Sides Of The Flatfoot Shakers",00:02:40,track
"Sentimental Fool","The Flatfoot Shakers","Many Sides Of The Flatfoot Shakers",00:03:00,track
"Monday Morning's Coming","Kieron Mcdonald","Island Girl",00:02:27,track
"Forbidden Room",Quatro,Unknown,00:03:31,track
"Hell Of A Woman",Impala,"Night Full Of Sirens: Anthology '93-'97",00:01:47,track
Stalkin',Impala,"Night Full Of Sirens: Anthology '93-'97",00:03:13,track
"Night Full Of Sirens",Impala,"Night Full Of Sirens: Anthology '93-'97",00:03:14,track
"Nothing More Than Murder",Impala,"Night Full Of Sirens: Anthology '93-'97",00:03:41,track
Penetration,Impala,"Night Full Of Sirens: Anthology '93-'97",00:03:02,track
"Squad Car",Impala,"Night Full Of Sirens: Anthology '93-'97",00:01:59,track
"The Hearse",Impala,"Night Full Of Sirens: Anthology '93-'97",00:02:42,track
"Tomb Of The Tupelo Twin",Impala,"Night Full Of Sirens: Anthology '93-'97",00:02:43,track
Advice,"Gutter Demons","Misery, Madness & Murder Lullabies",00:03:26,track
Firestarters,"Gutter Demons","Misery, Madness & Murder Lullabies",00:02:47,track
Recherche,"Gutter Demons","Misery, Madness & Murder Lullabies",00:02:54,track
"House By The Cemetery","Gutter Demons","Misery, Madness & Murder Lullabies",00:05:21,track
Sunday,"Gutter Demons","Misery, Madness & Murder Lullabies",00:03:41,track
"Children of The Damned","Gutter Demons","Room 2009",00:02:47,track
"Devil Horns","Gutter Demons","Room 2009",00:04:02,track
"Pauvre Martin","Gutter Demons","Room 2009",00:01:59,track
Insomnia,"Gutter Demons","Room 2009",00:03:33,track
"run away loco","Gutter Demons","Room 2009",00:02:23,track
"the funeral","Gutter Demons","Room 2009",00:02:24,track
Ghost,Lunatics,Rockmachine,00:02:36,track
"Love House",Lunatics,Rockmachine,00:03:08,track
Spaceman,Lunatics,Rockmachine,00:02:58,track
"The Tunnel",Lunatics,Rockmachine,00:03:18,track
"Monkey Spy","The Kilaueas",Unknown,00:02:08,track
"Last of The Rock Stars","Elliott Murphy",Unknown,00:06:24,track
"Gimme Danger","Iggy and The Stooges",Unknown,00:03:33,track
"Walk On the Wild Side","Lou Reed",Unknown,00:04:14,track
"All The Young Dudes","Mott The Hoople",Unknown,00:03:33,track
"Looking For A Kiss","The New York Dolls",Unknown,00:03:18,track
"Tumbling Down","Steve Harley & Cockney Rebel",Unknown,00:06:33,track
"Venus in Furs","Nico and The Velvet Underground",Unknown,00:05:12,track
Pills,"The New York Dolls","New York Dolls",00:02:53,track
"Hips Don’t Lie","Robyn Adele Anderson",Unknown,00:03:52,track
"Good and Bad (feat. Josephine Olivia)","King Dude",Unknown,00:04:31,track
"My Baby",Crocodylus,Unknown,00:02:36,track
Misery,"Odetta Hartman",Unknown,00:03:17,track
"Lil' Mama","The Troubled","Spacing Away",00:03:10,track
Beggin',"Kerry Pastine and The Crime Scene",Unknown,00:02:58,track
Fever,"Kerry Pastine and The Crime Scene",Unknown,00:03:05,track
Joy,"Kerry Pastine and The Crime Scene",Unknown,00:03:47,track
"Summer Wine (feat. Jim Dalton)","Kerry Pastine and The Crime Scene",Unknown,00:04:23,track
"Everybody Wants Some","Lew Phillips",Unknown,00:02:25,track
"Just Have Fun","Lew Phillips",Unknown,00:02:05,track
"Break My Heart","Cindi Lou & The Red Hot Royals",Unknown,00:03:28,track
"Hands Up","Cindi Lou & The Red Hot Royals",Unknown,00:04:23,track
"Hell Raiser","Cindi Lou & The Red Hot Royals",Unknown,00:03:59,track
"The Boots Are Made For Walking","The Head Henchmen",Unknown,00:02:56,track
"Wem Wam Wow","The Head Henchmen",Unknown,00:02:34,track
'59,"Brian Setzer","Rock And Roll",00:04:34,track
"Blue Cafe","Brian Setzer","Rock And Roll",00:03:52,track
"Get 'Em On The Ropes","Brian Setzer","Rock And Roll",00:03:17,track
"Frédéric et le Petit Monstre","Bombat Belus",Unknown,00:02:58,track
"Znowu słyszę...","Bombat Belus",Unknown,00:02:14,track
"Hello Darlin'","Carter Sampson",Unknown,00:04:58,track
"Simple Pleasures","The Holy Gasp",Unknown,00:04:34,track
"Devil Gate Drive","Thee Scarecrows AKA",Unknown,00:02:48,track
Neahkahnie,"Satan's Pilgrims",Unknown,00:03:30,track
"That's Showbiz","Reverend Horton Heat","20th Century Masters",00:04:32,track
"Aw, The Humanity","Reverend Horton Heat","Laughin' & Cryin' With The",00:04:40,track
"Drinkin' And Smokin' Cigarettes","Reverend Horton Heat","Laughin' & Cryin' With The",00:04:05,track
"Rural Point Of View","Reverend Horton Heat","Laughin' & Cryin' With The",00:03:30,track
"Taco Wagon","Man or Astro-Man","Destroy All Astromen!!",00:02:02,track
"The Shadow Knows (Vinyl Bonus Track)","Man or Astro-Man","Destroy All Astromen!!",00:02:20,track
"Devil's Gotten into My Baby","The Devotions",Unknown,00:02:45,track
"Baby Be Good (While I'm Gone)","The Rayons",Unknown,00:02:36,track
"Burning Bridges","The Troubled","Spacing Away",00:01:34,track
"Cult Of Power","The Troubled","Spacing Away",00:02:18,track
"Darkness Coming","The Troubled","Spacing Away",00:02:10,track
"From Dusk Till Dawn","The Troubled","Spacing Away",00:02:31,track
"Dirty Kinky Nasty","The Troubled","Spacing Away",00:03:03,track
"We Arrived (To Get You High)","The Troubled","Spacing Away",00:02:13,track
"More Than Words","Michael Dease","Reaching Out",00:04:16,track
"On a Slow Boat to China","Slowey & The Boats ft. Shannon McGill",Unknown,00:02:32,track
"Taco Truck","Satan's Pilgrims",Unknown,00:02:48,track
"Cold Call","Gutter Demons",Unknown,00:02:46,track
"The Nobu Incident","The Mystery Men?",Unknown,00:02:40,track
"Spiral Arms","The Mystery Men?",Unknown,00:02:44,track
"Complicated Man","Complicated Man",Unknown,00:04:20,track
"Hold Still","Mary-Elaine Jenkins",Unknown,00:04:58,track
"Walk Alone","Sharlet Crooks",Unknown,00:03:58,track
"Ces mots simples","Vanessa Paradis",Unknown,00:02:51,track
"Money Money Money","Craic 'n' Roll",Unknown,00:03:09,track
"Feel It","Mr. Hypno & His Lo-Fi",Unknown,00:02:21,track
"Soul for Sale","Mary-Elaine Jenkins",Unknown,00:03:16,track
"Big Wheel","Whiskey Daredevils",Unknown,00:04:07,track
"Nothing Thrills Me Like It Used To","Cats and Dinosaurs",Unknown,00:02:19,track
"Who Wants To Know?","Jimmy Ray",Unknown,00:03:51,track
Anytime,"Johnny Casino",Unknown,00:03:58,track
"The Cheating Game","Lew Phillips",Unknown,00:02:41,track
Aerials,"Robyn Adele Anderson",Unknown,00:03:43,track
"Love Is The Deadliest Poison","Ukulena and Her Smitten Kittens",Unknown,00:03:04,track
"Mad Monster Party","Ukulena and Her Smitten Kittens",Unknown,00:03:43,track
"Never Was A Love Like Mine","Ukulena and Her Smitten Kittens",Unknown,00:02:58,track
"Witch Hunter","Ukulena and Her Smitten Kittens",Unknown,00:03:41,track
"Needles In The Camel's Eye","Brian Eno","Eno Box II Vocals",00:03:10,track
Cavaliers,"Cockney Rebel","The Psychomodo",00:08:34,track
"Ship Of Fools","John Cale",Fear,00:04:38,track
Babylon,"The New York Dolls","Too Much Too Soon",00:03:33,track
Bittersweet,"Roxy Music","Country Life",00:04:50,track
"Sunshine Of Your Love",Cream,Unknown,00:04:10,track
"The Saturday Kids","Mott The Hoople",Unknown,00:06:01,track
Satisfaction,"The Rolling Stones",Unknown,00:03:42,track
Faith,"Gutter Demons",Unknown,00:02:47,track
"Let Me Know","Kai Danzberg",Unknown,00:03:55,track
Deprived,"Ken Pomeroy",Unknown,00:02:42,track
"Leather Face",Kryptonix,Unknown,00:03:53,track
"Oh! My Soul","Screamin' Rebel Angels",Unknown,00:02:08,track
Helena,"Robyn Adele Anderson",Unknown,00:03:24,track
"Girl or Gator?",Shoobies,Unknown,00:02:51,track
Ghostrider,"Gutter Demons",Unknown,00:02:53,track
"Rock And Roll Dreams Come Through","Jim Steinman","Bad For Good",00:06:26,track
"The Storm","Jim Steinman","Bad For Good",00:04:32,track
"As Tears Go By","Marianne Faithfull","Negative Capability [Deluxe Version]",00:03:52,track
"Don't Go","Marianne Faithfull","Negative Capability [Deluxe Version]",00:04:20,track
"Born to Live","Marianne Faithfull","Negative Capability [Deluxe Version]",00:03:39,track
"In My Own Particular Way","Marianne Faithfull","Negative Capability [Deluxe Version]",00:04:21,track
"Loneliest Person","Marianne Faithfull","Negative Capability [Deluxe Version]",00:02:53,track
"It's All Over Now, Baby Blue (Re-Recorded)","Marianne Faithfull","Negative Capability [Deluxe Version]",00:05:00,track
Misunderstanding,"Marianne Faithfull","Negative Capability [Deluxe Version]",00:04:04,track
"No Moon in Paris","Marianne Faithfull","Negative Capability [Deluxe Version]",00:04:54,track
"The Gypsy Faerie Queen (Feat. Nick Cave)","Marianne Faithfull","Negative Capability [Deluxe Version]",00:03:40,track
"They Come at Night","Marianne Faithfull","Negative Capability [Deluxe Version]",00:03:41,track
"Witches Song","Marianne Faithfull","Negative Capability [Deluxe Version]",00:04:57,track
"Spiders in Her Hair","King Dude","Born in Blood",00:03:19,track
Clandestino,"Mano Negra",Unknown,00:02:28,track
"Blue Sunday","The Doors",Unknown,00:02:11,track
"Winchester Cathedral","New Vaudeville Band",Unknown,00:02:31,track
"Bip Bop","Paul McCartney And Wings","Wild Life",00:04:10,track
"I Drove All Night","Cindy Lauper",Unknown,00:04:07,track
"Time After Time","Cindy Lauper",Unknown,00:04:00,track
"True Colors","Cindy Lauper",Unknown,00:03:48,track
"Without You","Harry Nilsson","Nilsson Schmilsson",00:03:23,track
Coconut,"Harry Nilsson","Nilsson Schmilsson",00:03:50,track
"Many Rivers to Cross","Harry Nilsson and John Lennon","Pussy Cats",00:05:00,track
"Rock Around the Clock","Harry Nilsson and John Lennon","Pussy Cats",00:03:14,track
"Save the Last Dance for Me","Harry Nilsson and John Lennon","Pussy Cats",00:04:27,track
"I've Got My Mind Set On You","James Ray",Unknown,00:01:50,track
"The Screemin' Meemies from Planet X","Merv Griffin",album,00:02:58,track
Tired,"Pearl Bailey","CC #1213 - Pearl Bailey (1944-1947)",00:03:20,track
"La Bamba","The Andrew Oldham Orchestra",Rarities,00:02:27,track
"Needles and Pins","The Andrew Oldham Orchestra",Unknown,00:02:22,track
"The Last Time","The Andrew Oldham Orchestra",Unknown,00:03:48,track
"Theme for a Rolling Stone","The Andrew Oldham Orchestra",Unknown,00:03:13,track
"Blue Turns to Grey","The Andrew Oldham Orchestra","Beatles vs. Stones",00:02:55,track
"Each And Every Day Of The Year","The Andrew Oldham Orchestra",Unknown,00:02:51,track
"Play With Fire","The Andrew Oldham Orchestra","The Rolling Stones Songbook",00:02:23,track
"Tell Me","The Andrew Oldham Orchestra","The Rolling Stones Songbook",00:04:02,track
"Theme For A Mod's Summernight Dream","The Andrew Oldham Orchestra",Grumpy_100514,00:02:28,track
"Time Is On My Side","The Andrew Oldham Orchestra","The Rolling Stones Songbook",00:03:18,track
"3:10 To Yuma","Richie Havens","My Own Way",00:03:20,track
"900 Miles From Home","Richie Havens","My Own Way",00:03:46,track
"Daddy Roll 'em","Richie Havens","My Own Way",00:02:42,track
"Drown In My Own Tears","Richie Havens","My Own Way",00:04:21,track
"Oxford Town","Richie Havens","My Own Way",00:03:21,track
"Hard Headed Woman","Cat Stevens","Tea For The Tillerman",00:03:47,track
"How Can I Tell You","Cat Stevens","Teaser And The Firecat",00:04:25,track
"Morning Has Broken","Cat Stevens","Teaser And The Firecat",00:03:22,track
"The Hurt","Cat Stevens","The Best Of",00:04:19,track
"Always On Saturday","Chet Atkins","Our Man In Nashville",00:02:13,track
"The Old Double Shuffle","Chet Atkins","Our Man In Nashville",00:02:59,track
"Sweet Jane","Cowboy Junkies","The Trinity Session",00:03:35,track
"When a man loves a woman","Demis Roussos","Granita apo 60s CD3",00:02:39,track
"Brothers In Arms","Dire Straits","Brothers In Arms",00:06:58,track
"Romeo And Juliet","Dire Straits","Making Movies",00:06:01,track
"So Far Away","Dire Straits","Brothers In Arms",00:05:12,track
"Sultans Of Swing","Dire Straits","Dire Straits",00:05:36,track
"Tunnel Of Love","Dire Straits","Making Movies",00:08:10,track
"Since I Don't Have You","Don McLean",Unknown,00:02:36,track
"Your Latest Trick","Dire Straits","Brothers In Arms",00:06:33,track
"Drown In My Own Tears","Eva Cassidy","Live at Pearl's (Sept. 19th 1994)",00:03:19,track
"I'll Drown In My Own Tears","Etta James","Red Hot & Live",00:04:24,track
"Monday Monday","Floyd Cramer","Class Of '66",00:02:20,track
"I'll Drown In My Own Tears","Janis Joplin","Early Performances",00:01:41,track
"Since I Don't Have You","Manfred Mann","Basic: Original Hits",00:02:34,track
"Since I Don't Have You","Patti Labelle",Unknown,00:05:42,track
"Since I Don't Have You","Ricky Nelson","Ricky Nelson",00:02:36,track
"Drown In My Own Tears","Solomon Burke","We're Almost Home",00:05:47,track
"Arctic Ocean","Space Psycho Tropic Plank-Tone",Unknown,00:02:40,track
Cosmoscares,"Space Psycho Tropic Plank-Tone",Unknown,00:01:53,track
"Galaxies Twins","Space Psycho Tropic Plank-Tone",Unknown,00:02:38,track
"Galaxy 174","Space Psycho Tropic Plank-Tone",Unknown,00:04:05,track
"It Came From Space","Space Psycho Tropic Plank-Tone",Unknown,00:02:54,track
"Meteor Shower","Space Psycho Tropic Plank-Tone",Unknown,00:03:22,track
Reincarnation,"Space Psycho Tropic Plank-Tone",Unknown,00:03:25,track
"Mysterious Visitors of Planet Reverb","Space Psycho Tropic Plank-Tone",Unknown,00:04:23,track
"Revelations of the Night","Space Psycho Tropic Plank-Tone",Unknown,00:03:26,track
"Spirit Vibrations","Space Psycho Tropic Plank-Tone",Unknown,00:04:15,track
Weightlessness,"Space Psycho Tropic Plank-Tone",Unknown,00:02:48,track
"Easy As ABC",Dandies,"Rock It",00:03:05,track
"Give Me A Tune",Dandies,"Rock It",00:02:15,track
"Dream Has Gone",Dandies,"Rock It",00:03:54,track
"He's a Cat",Dandies,"Rock It",00:03:13,track
"Human Woman",Dandies,"Rock It",00:03:34,track
"I've Got a Guy",Dandies,"Rock It",00:02:14,track
"My Way",Dandies,"Rock It",00:02:58,track
"Off We Go",Dandies,"Rock It",00:03:45,track
"It Happens",Dandies,"Rock It",00:05:03,track
"Rockabilly Kitties",Dandies,"Rock It",00:02:59,track
"Say Good-Bye To The Past",Dandies,"Rock It",00:03:15,track
"That's How It Is",Dandies,"Rock It",00:02:17,track
"Streets of My Life",Dandies,"Rock It",00:03:41,track
"Sunday Morning","Chris Coco feat. Nick Cave","99 Best Covers Ever (II) - Crazy - 074 Next Wave",00:05:04,track
"She [Alternate Version]","Gram Parsons","Alternate Takes From GP & Grievous Angel",00:04:58,track
Andalucia,"John Cale","Paris 1919",00:03:54,track
"Antarctica Starts Here","John Cale","Paris 1919",00:02:47,track
"Gideon's Bible","John Cale","Vintage Violence",00:03:24,track
"Do Not Go Gentle Into That Good Night","John Cale","Broken Hearts - Live",00:03:38,track
"Hanky Panky Nohow","John Cale","Paris 1919",00:02:46,track
Hallelujah,"John Cale","Fragments of a Rainy Season [DVD]",00:04:05,track
"Love Me Two Times","John Cale","Broken Hearts - Live",00:02:23,track
"Paris 1919","John Cale","Paris 1919",00:04:05,track
"The Endless Plain Of Fortune","John Cale","Paris 1919",00:04:12,track
"Faces and Names","John Cale and Lou Reed","Songs for Drella",00:04:12,track
"Forever Changed","John Cale and Lou Reed","Songs for Drella",00:04:51,track
"It Wasn't Me","John Cale and Lou Reed","Songs for Drella",00:03:30,track
"Nobody But You","John Cale and Lou Reed","Songs for Drella",00:03:45,track
