artist_raw,track_count,ignore
Cass Elliot,8,false
Chet Baker,8,false
Chubby Checker,8,false
Donna Dunne & The Mystery Men,8,false
Emily Duff,8,false
Emma Swift,8,false
Es Feiv,8,false
Frankie and the Pool Boys,8,false
Gram Parsons,8,false
Harry Nilsson,8,false
Iggy Pop,8,false
Impala,8,false
JD McPherson,8,false
Karen Jonas,8,false
King Dude,8,false
Konstantin Kolesnichenko,8,false
Laura B & The Moonlighters,8,false
LaVern Baker,8,false
Led Zeppelin,8,false
Lew Phillips,8,false
Little Miss Higgins,8,false
Mano Negra,8,false
Meat Loaf,8,false
Mike Pedecin,8,false
Paul Anka,8,false
Rachel Baiman,8,false
Raimonds Pauls and Latvian Radio Big Band,8,false
Rosali,8,false
Samantha Fish,8,false
Screamin' Meemies,8,false
Stage Frite,8,false
Stein,8,false
Sugarpie And The Candymen,8,false
T. Rex,8,false
The Gagarins,8,false
The Guana Batz,8,false
The Handsome Family,8,false
Thee Flanders,8,false
Willie Nelson,8,false
Zoe FitzGerald Carter,8,false
Брати Гадюкiни,8,false
Allison Russell,7,false
"Bobby ""Blue"""" Bland""",7,false
Bohren & der Club of Gore,7,false
Brenda Lee,7,false
Cat Power,7,false
Dale Cooper Quartet & The Dictaphones,7,false
Del Shannon,7,false
Emmylou Harris,7,false
Enoch Light,7,false
Esther Rose,7,false
Freno de Pedales,7,false
Gabor Szabo,7,false
Grace Slick,7,false
Heather Little,7,false
Herbert Rehbein And His Orchestra,7,false
Ken Pomeroy,7,false
Kerry Pastine and the Crime Scene,7,false
Mad Marge,7,false
Meredith Moon,7,false
Mr. Hypno & His Lo-Fi,7,false
Nico and The Velvet Underground,7,false
Nouvelle Vague,7,false
Paul McCartney,7,false
Pokey LaFarge and the South City Three,7,false
Procol Harum,7,false
Roger Waters,7,false
Roy Orbison,7,false
Ryan Chrys & The Rough Cuts,7,false
Sasha Nabokova,7,false
Sid Bass and His Orchestra,7,false
Silas J. Dirge,7,false
The Atlantics,7,false
The ChuGuysters,7,false
The Clash,7,false
The Coffinshakers,7,false
The Double Happiness,7,false
The Hawkmen,7,false
The Montvales,7,false
The Rocket Dogz,7,false
Tip Jar,7,false
Vern Jules & The Aquanauts,7,false
Weather Report,7,false
Banditos,6,false
Bill Evans,6,false
Bonnie Raitt,6,false
Buddy Holly,6,false
Carl Perkins,6,false
Clare Teal,6,false
Danny B. Harvey & Annie Marie Lewis,6,false
Davina and The Vagabonds,6,false
Dini Kimmel,6,false
Dire Straits,6,false
EightBomb,6,false
Eilen Jewell,6,false
Fairport Convention,6,false
Flora Falls,6,false
Ghoultown,6,false
Glen Campbell,6,false
Greg Townson,6,false
INXS,6,false
Janis Joplin,6,false
Jillhouse,6,false
John Cale and Lou Reed,6,false
Kirsty McColl,6,false
Kristina Train,6,false
Linda Gail Lewis,6,false
Louis Jordan & His Tympany Five,6,false
Luther Dickinson and Sisters of the Strawberry Moon,6,false
Lynn Miles,6,false
Magnatech,6,false
Martin Denny,6,false
Mary Ann Hawkins,6,false
Mattie Schell,6,false
Maya de Vitry,6,false
Mel Bryant & the Mercy Makers,6,false
Miles Davis,6,false
Moussaka,6,false
Mr Skatkov,6,false
Muddy Waters,6,false
Nancy Sinatra,6,false
Nat King Cole,6,false
Nico,6,false
Oscar Peterson,6,false
P Paul Fenech,6,false
P. Paul Fenech,6,false
Paul Weston,6,false
Rafael Riqueni,6,false
REMEZ,6,false
Reverend Horton Heat,6,false
Sarah Jarosz,6,false
Screamin' Jay Hawkins,6,false
Screamin' Rebel Angels,6,false
Staccato,6,false
Steve T Hunter,6,false
Takeshi Terauchi & Blue Jeans,6,false
The Big Jamboree,6,false
The Brothers Four,6,false
The Epileptic Hillbillys,6,false
The Hello Darlins,6,false
The Neurotix,6,false
The Obscuritones,6,false
The Pastel Six,6,false
The Platters,6,false
The Sea-Jays,6,false
The Vrooming Crew avec Grandsart & Dolores,6,false
Tia Brazda,6,false
Tiwayo,6,false
Tony Joe White + Flying Mojito Bros,6,false
Tori Amos,6,false
Van Morrison,6,false
Vanessa Peters,6,false
Willie Dixon,6,false
Xavier Cugat,6,false
Брати Гадюкіни,6,false
Anna Tivel,5,false
Banditoz Band,5,false
Captain Beefheart,5,false
Chilli & The Baracudas,5,false
Cocteau Twins,5,false
Crys Matthews,5,false
Crystal & Runnin' Wild,5,false
Dave Alvin,5,false
Derek & The Dominos,5,false
Eddie Cochran,5,false
Eric Kay and the Surfaronies,5,false
Federale,5,false
Ferrante & Teicher,5,false
Gillian Welch,5,false
Gram Parsons and The Flying Burrito Bros,5,false
Grave Slaves,5,false
Grey Delisle,5,false
Half Deaf Clatch,5,false
Hellbilly Club,5,false
Herb Alpert and the Tijuana Brass,5,false
Iris Williams,5,false
Juan Garcia Esquivel,5,false
Juice Newton,5,false
Kacey Musgraves,5,false
Kate Ellis,5,false
Kaydash,5,false
Kenyon Hopkins,5,false
Lara Hope & the Ark-Tones,5,false
Lazer Gun Saloon,5,false
Leo Addeo and His Orchestra,5,false
Link Wray,5,false
Little Kahuna,5,false
Los Reverb,5,false
Madeleine Peyroux,5,false
Mamas and The Papas,5,false
Mary-Elaine Jenkins,5,false
MonaLisa Twins,5,false
Morphine,5,false
Nasty Boogie,5,false
Natascha & The Spy Boys,5,false
