artist_raw,artist_canonical,track_count,monitor_priority,ignore,notes
Lydia Loveless,Lydia Loveless,4,low,false,
Lydia Lunch & Rowland S. Howard,Lydia Lunch & Rowland S. Howard,4,low,false,
Madi Diaz,Madi Diaz,4,low,false,
Maggie Baugh,Maggie Baugh,4,low,false,
Margo Guryan,Margo Guryan,4,low,false,
Marianne Faithful,Marianne Faithful,4,low,false,
Matt Monro,Matt Monro,4,low,false,
Mick Harvey,Mick Harvey,4,low,false,
Mo7s,Mo7s,4,low,false,
Molly Tuttle,Molly Tuttle,4,low,false,
Mott The Hoople,Mott The Hoople,4,low,false,
Natalie Merchant,Natalie Merchant,4,low,false,
NEKROMANTIX,NEKROMANTIX,4,low,false,
Nick Curran & The Lowlifes,Nick Curran & The Lowlifes,4,low,false,
Nikki Lane,Nikki Lane,4,low,false,
Paul Walker & Karen Pfeiffer,Paul Walker & Karen Pfeiffer,4,low,false,
Pepita Slappers,Pepita Slappers,4,low,false,
Ray Collins' Hot Club,Ray Collins' Hot Club,4,low,false,
Ray Davies,Ray Davies,4,low,false,
Ricky Nelson,Ricky Nelson,4,low,false,
Robert Plant,Robert Plant,4,low,false,
Roseanne Reid,Roseanne Reid,4,low,false,
Sam C. Jones,Sam C. Jones,4,low,false,
Sant Anna Bay Coconuts,Sant Anna Bay Coconuts,4,low,false,
Sheryl Crow,Sheryl Crow,4,low,false,
Shirley Bassey,Shirley Bassey,4,low,false,
Short Stack and Sides,Short Stack and Sides,4,low,false,
Shorty's Swingin Coconuts,Shorty's Swingin Coconuts,4,low,false,
Sierra Ferrell,Sierra Ferrell,4,low,false,
Sierra Hull,Sierra Hull,4,low,false,
Skaldowie,Skaldowie,4,low,false,
Stanley Black and his Orchestra and Chorus,Stanley Black and his Orchestra and Chorus,4,low,false,
Stray Cats,Stray Cats,4,low,false,
Suzanne Vega,Suzanne Vega,4,low,false,
Tanque Rudy,Tanque Rudy,4,low,false,
Taylor & Leigh,Taylor & Leigh,4,low,false,
The Animals,The Animals,4,low,false,
The CheekyBenders,The CheekyBenders,4,low,false,
The Hillbilly Kings,The Hillbilly Kings,4,low,false,
The J Ann C Trio,The J Ann C Trio,4,low,false,
The Keeymen,The Keeymen,4,low,false,
The Kilimanjaro Darkjazz Ensemble,The Kilimanjaro Darkjazz Ensemble,4,low,false,
The Kinks,The Kinks,4,low,false,
The Koffin Rockers,The Koffin Rockers,4,low,false,
The Lively Ones,The Lively Ones,4,low,false,
The Lostines,The Lostines,4,low,false,
The Madeira,The Madeira,4,low,false,
The New York Dolls,The New York Dolls,4,low,false,
The Side Burns,The Side Burns,4,low,false,
The Space Cossacks,The Space Cossacks,4,low,false,
The Stray Cats,The Stray Cats,4,low,false,
The Supertones,The Supertones,4,low,false,
The Surfaris,The Surfaris,4,low,false,
The Surfrajettes,The Surfrajettes,4,low,false,
The Tea Ship,The Tea Ship,4,low,false,
The Tornadoes,The Tornadoes,4,low,false,
The Traveling Wilburys,The Traveling Wilburys,4,low,false,
The Troggs,The Troggs,4,low,false,
The Wallflowers,The Wallflowers,4,low,false,
The Wild Feathers,The Wild Feathers,4,low,false,
Ukulena and Her Smitten Kittens,Ukulena and Her Smitten Kittens,4,low,false,
Union Avenue,Union Avenue,4,low,false,
UV and the Rays,UV and the Rays,4,low,false,
Whiskey Daredevils,Whiskey Daredevils,4,low,false,
William J. Le Petomane,William J. Le Petomane,4,low,false,
William T. & The Black 50's,William T. & The Black 50's,4,low,false,
Wovenhand,Wovenhand,4,low,false,
"Zoe Schwarz Blue Commotion, Rob Koral, Pete Whittaker, Paul Robinson","Zoe Schwarz Blue Commotion, Rob Koral, Pete Whittaker, Paul Robinson",4,low,false,
Віка Врадій,Віка Врадій,4,low,false,
12AX7,12AX7,3,low,false,
49 Winchester,49 Winchester,3,low,false,
Alex North,Alex North,3,low,false,
Alvino Rey His Guitars & Orchestra,Alvino Rey His Guitars & Orchestra,3,low,false,
Amos Milburn,Amos Milburn,3,low,false,
Amy Annelle,Amy Annelle,3,low,false,
Anna Elizabeth Laube,Anna Elizabeth Laube,3,low,false,
Anna Graves,Anna Graves,3,low,false,
Aoife O'Donovan,Aoife O'Donovan,3,low,false,
Batmobile,Batmobile,3,low,false,
Big Mama Thornton,Big Mama Thornton,3,low,false,
Black Vista,Black Vista,3,low,false,
Bobby Day,Bobby Day,3,low,false,
Boogie Dance,Boogie Dance,3,low,false,
Brian Setzer,Brian Setzer,3,low,false,
Broadcast,Broadcast,3,low,false,
Bryan Ferry and His Orchestra,Bryan Ferry and His Orchestra,3,low,false,
Bullit,Bullit,3,low,false,
Charlie Halloran and The Tropicales,Charlie Halloran and The Tropicales,3,low,false,
Chilli & the Baracudas,Chilli & the Baracudas,3,low,false,
Chrissie Hynde & The Valve Bone Woe Ensemble,Chrissie Hynde & The Valve Bone Woe Ensemble,3,low,false,
Cilla Black,Cilla Black,3,low,false,
Cindy Lauper,Cindy Lauper,3,low,false,
Connie Francis,Connie Francis,3,low,false,
Cowabunghouls,Cowabunghouls,3,low,false,
Cowboy Junkies,Cowboy Junkies,3,low,false,
Cyndi Lauper,Cyndi Lauper,3,low,false,
Dark Jazz Cafe Assembly,Dark Jazz Cafe Assembly,3,low,false,
David Byrne feat. Ghost Train Orchestra,David Byrne feat. Ghost Train Orchestra,3,low,false,
Davie Allan & The Arrows,Davie Allan & The Arrows,3,low,false,
Deadite,Deadite,3,low,false,
Dean Martin,Dean Martin,3,low,false,
Dick Dale & The Del-Tones,Dick Dale & The Del-Tones,3,low,false,
Dion,Dion,3,low,false,
Doris Day,Doris Day,3,low,false,
Drive-By Truckers,Drive-By Truckers,3,low,false,
Edwardian Devils,Edwardian Devils,3,low,false,
Ennio Morricone & Lisa Gastoni,Ennio Morricone & Lisa Gastoni,3,low,false,
Everglades Rhythm,Everglades Rhythm,3,low,false,
Firebirds,Firebirds,3,low,false,
Francis Cabrel,Francis Cabrel,3,low,false,
Frank Sinatra,Frank Sinatra,3,low,false,
Full Load of King,Full Load of King,3,low,false,
Genki Genki Panic,Genki Genki Panic,3,low,false,
Gordon Lightfoot,Gordon Lightfoot,3,low,false,
GracieHorse,GracieHorse,3,low,false,
Harry Nilsson and John Lennon,Harry Nilsson and John Lennon,3,low,false,
Hattori Hanzo Surf Experience,Hattori Hanzo Surf Experience,3,low,false,
Hilde Vos,Hilde Vos,3,low,false,
Hillbilly Hellcats,Hillbilly Hellcats,3,low,false,
Holly Cole Trio,Holly Cole Trio,3,low,false,
Hot Sugar Band,Hot Sugar Band,3,low,false,
I. Jeziak and The Surfers,I. Jeziak and The Surfers,3,low,false,
Isobel Campbell & Mark Lanegan,Isobel Campbell & Mark Lanegan,3,low,false,
Jack Rabbit Slim,Jack Rabbit Slim,3,low,false,
Jackie Gleason,Jackie Gleason,3,low,false,
Jaco Pastorius,Jaco Pastorius,3,low,false,
Jaime Wyatt,Jaime Wyatt,3,low,false,
Jana Mila,Jana Mila,3,low,false,
Jason Isbell and the 400 Unit,Jason Isbell and the 400 Unit,3,low,false,
Jefferson Airplane,Jefferson Airplane,3,low,false,
Jenny Don't and the Spurs,Jenny Don't and the Spurs,3,low,false,
Johnny Jewel,Johnny Jewel,3,low,false,
Jonathan Stout and his Campus Five,Jonathan Stout and his Campus Five,3,low,false,
Jonathan Stout and his Campus Five & Hilary Alexander,Jonathan Stout and his Campus Five & Hilary Alexander,3,low,false,
Jonny Barber & The Rhythm Razors,Jonny Barber & The Rhythm Razors,3,low,false,
Keenan McKenzie,Keenan McKenzie,3,low,false,
Les Baxter,Les Baxter,3,low,false,
Les Panches Surfers,Les Panches Surfers,3,low,false,
Les Robots,Les Robots,3,low,false,
Liv Greene,Liv Greene,3,low,false,
Liz Stringer,Liz Stringer,3,low,false,
Loreena McKennitt,Loreena McKennitt,3,low,false,
Los Blonder,Los Blonder,3,low,false,
Los Coronas & Arizona Baby,Los Coronas & Arizona Baby,3,low,false,
Louis Armstrong,Louis Armstrong,3,low,false,
Louis Prima & Keely Smith & Sam Butera & The Witnesses,Louis Prima & Keely Smith & Sam Butera & The Witnesses,3,low,false,
Mac Cornish,Mac Cornish,3,low,false,
Mad Marge And The Stonecutters,Mad Marge And The Stonecutters,3,low,false,
Mark Malibu & the Wasagas,Mark Malibu & the Wasagas,3,low,false,
Martha Fields,Martha Fields,3,low,false,
Mavis Staples,Mavis Staples,3,low,false,
MC5,MC5,3,low,false,
Milva,Milva,3,low,false,
Miss Mary Ann & The Ragtime Wranglers,Miss Mary Ann & The Ragtime Wranglers,3,low,false,
Naomi & Her Handsome Devils,Naomi & Her Handsome Devils,3,low,false,
Nena,Nena,3,low,false,
Nick Curran & The Nightlifes,Nick Curran & The Nightlifes,3,low,false,
Octopus King,Octopus King,3,low,false,
Otis Clay,Otis Clay,3,low,false,
Pat Boone,Pat Boone,3,low,false,
Peggy Lipton,Peggy Lipton,3,low,false,
Percy Sledge,Percy Sledge,3,low,false,
Phill Reynolds,Phill Reynolds,3,low,false,
Preservation Hall Jazz Band,Preservation Hall Jazz Band,3,low,false,
Prince,Prince,3,low,false,
Ral Donner,Ral Donner,3,low,false,
Ray Anthony,Ray Anthony,3,low,false,
Rhythms del Mundo,Rhythms del Mundo,3,low,false,
Richard Inman,Richard Inman,3,low,false,
Rising Appalachia,Rising Appalachia,3,low,false,
Rob Heron & The Tea Pad Orchestra,Rob Heron & The Tea Pad Orchestra,3,low,false,
Robert Gordon,Robert Gordon,3,low,false,
Royal Crown Revue,Royal Crown Revue,3,low,false,
Running From Daylight,Running From Daylight,3,low,false,
Sara Gee & Ramblin Matt feat. Soni Artal,Sara Gee & Ramblin Matt feat. Soni Artal,3,low,false,
Sara Watkins,Sara Watkins,3,low,false,
Sharon Van Etten,Sharon Van Etten,3,low,false,
Susan Cattaneo,Susan Cattaneo,3,low,false,
Switchblade,Switchblade,3,low,false,
Sys Malakian,Sys Malakian,3,low,false,
TarantinosNYC,TarantinosNYC,3,low,false,
The Bambi Molesters,The Bambi Molesters,3,low,false,
The Baseballs,The Baseballs,3,low,false,
The Beach Boys,The Beach Boys,3,low,false,
The Chantays,The Chantays,3,low,false,
The Charades,The Charades,3,low,false,
The Clovers,The Clovers,3,low,false,
The Coasters,The Coasters,3,low,false,
The Devil's Daughters,The Devil's Daughters,3,low,false,
The Dice Cubes,The Dice Cubes,3,low,false,
The Drifters,The Drifters,3,low,false,
The Felice Brothers,The Felice Brothers,3,low,false,
The Fuzillis,The Fuzillis,3,low,false,
The Jack O' Bones,The Jack O' Bones,3,low,false,
The Jive Aces,The Jive Aces,3,low,false,
The Kilaueas,The Kilaueas,3,low,false,
The Krayolas,The Krayolas,3,low,false,
The Krontjong Devils,The Krontjong Devils,3,low,false,
The Marvelettes,The Marvelettes,3,low,false,
The Memphis Suns,The Memphis Suns,3,low,false,
The Minestompers,The Minestompers,3,low,false,
The Primer Kings,The Primer Kings,3,low,false,
THE PUSSYCATS,THE PUSSYCATS,3,low,false,
The Ramblin Bandits,The Ramblin Bandits,3,low,false,
The Seekers,The Seekers,3,low,false,
The Sonoras,The Sonoras,3,low,false,
The Spotnicks,The Spotnicks,3,low,false,
The Strays,The Strays,3,low,false,
The Surf Rats,The Surf Rats,3,low,false,
The Tremolo Beer Gut,The Tremolo Beer Gut,3,low,false,
The Venus In Furs,The Venus In Furs,3,low,false,
The Who,The Who,3,low,false,
The Тяга,The Тяга,3,low,false,
Tom Toxic & Die Holstein Rockets,Tom Toxic & Die Holstein Rockets,3,low,false,
Tom Verlaine,Tom Verlaine,3,low,false,
Twisted Rod,Twisted Rod,3,low,false,
Vulvette,Vulvette,3,low,false,
Wanton,Wanton,3,low,false,
Wayne Jayne County,Wayne Jayne County,3,low,false,
WJLP,WJLP,3,low,false,
Zombie Jamboree,Zombie Jamboree,3,low,false,
Макс Параграф,Макс Параграф,3,low,false,
Мандри,Мандри,3,low,false,
Олександр Ремез,Олександр Ремез,3,low,false,
A Pony Named Olga,A Pony Named Olga,2,low,false,
Alan Jackson,Alan Jackson,2,low,false,
Albert Ginés,Albert Ginés,2,low,false,
Albert Ginés y sus Oceánicos,Albert Ginés y sus Oceánicos,2,low,false,
Alessandro Alessandroni,Alessandro Alessandroni,2,low,false,
Allison Moorer,Allison Moorer,2,low,false,
Amanda Palmer,Amanda Palmer,2,low,false,
Andrew Hale,Andrew Hale,2,low,false,
Angela Hoodoo,Angela Hoodoo,2,low,false,
Angela Strehli,Angela Strehli,2,low,false,
Ann-Margret,Ann-Margret,2,low,false,
Anna Dukke,Anna Dukke,2,low,false,
Anne Murray,Anne Murray,2,low,false,
Arlo Mckinley,Arlo Mckinley,2,low,false,
Arms Grace,Arms Grace,2,low,false,
Art Garfunkel,Art Garfunkel,2,low,false,
Avery West ft. Boogie Fleetwood Jr.,Avery West ft. Boogie Fleetwood Jr.,2,low,false,
Backstrom,Backstrom,2,low,false,
Badfinger,Badfinger,2,low,false,
Bang Bang Band Girl,Bang Bang Band Girl,2,low,false,
Becky Buller,Becky Buller,2,low,false,
Bernie Barlow,Bernie Barlow,2,low,false,
Big Sandy & His Fly-Rite Boys,Big Sandy & His Fly-Rite Boys,2,low,false,
Billie Holiday,Billie Holiday,2,low,false,
Billy Valentine & The Forest Rangers,Billy Valentine & The Forest Rangers,2,low,false,
BJ Baartmans & Wild Verband,BJ Baartmans & Wild Verband,2,low,false,
Black Cat Bone,Black Cat Bone,2,low,false,
Bloodest Saxophone,Bloodest Saxophone,2,low,false,
Bob Dylan,Bob Dylan,2,low,false,
Bombat Belus,Bombat Belus,2,low,false,
Bones In The Walls,Bones In The Walls,2,low,false,
Bonnie Tyler,Bonnie Tyler,2,low,false,
Brea Robertson,Brea Robertson,2,low,false,
Brennen Leigh,Brennen Leigh,2,low,false,
Bruce Springsteen,Bruce Springsteen,2,low,false,
Bryan Ferry,Bryan Ferry,2,low,false,
Bud Shank,Bud Shank,2,low,false,
Buddy Morrow,Buddy Morrow,2,low,false,
Bunny Paul,Bunny Paul,2,low,false,
Carlos & the Bandidos,Carlos & the Bandidos,2,low,false,
Carlos And The Bandidos,Carlos And The Bandidos,2,low,false,
Carole King,Carole King,2,low,false,
Caroline Spence,Caroline Spence,2,low,false,
Charlie Sundown,Charlie Sundown,2,low,false,
Chip Taylor & The New Ukrainians,Chip Taylor & The New Ukrainians,2,low,false,
Chris Casello,Chris Casello,2,low,false,
Chromatics,Chromatics,2,low,false,
Chrome Castle,Chrome Castle,2,low,false,
Codex Nihilim,Codex Nihilim,2,low,false,
Coleman Hawkins & Ben Webster,Coleman Hawkins & Ben Webster,2,low,false,
Cop Shop,Cop Shop,2,low,false,
Count Basie Orchestra,Count Basie Orchestra,2,low,false,
Country Joe McDonald,Country Joe McDonald,2,low,false,
Cuby & Blizzards,Cuby & Blizzards,2,low,false,
Daisy June & the Loose,Daisy June & the Loose,2,low,false,
DangerForce 5,DangerForce 5,2,low,false,
Daphne Parker Powell,Daphne Parker Powell,2,low,false,
Dave Edmunds,Dave Edmunds,2,low,false,
Dave Vamfer,Dave Vamfer,2,low,false,
David Rodriguez and the Rhythm Chiefs,David Rodriguez and the Rhythm Chiefs,2,low,false,
Dean Owens,Dean Owens,2,low,false,
Dee Dee Sharp,Dee Dee Sharp,2,low,false,
Deluxe Blues Band,Deluxe Blues Band,2,low,false,
Di Maggio Brothers,Di Maggio Brothers,2,low,false,
Diana Krall,Diana Krall,2,low,false,
Dinah Washington & Quincy Jones,Dinah Washington & Quincy Jones,2,low,false,
Dion And The Belmonts,Dion And The Belmonts,2,low,false,
Dizzy Gillespie,Dizzy Gillespie,2,low,false,
Doc & The Mads,Doc & The Mads,2,low,false,
Dom Mariani & The Majestic Kelp,Dom Mariani & The Majestic Kelp,2,low,false,
Don Ray,Don Ray,2,low,false,
Doomachine Orchestra,Doomachine Orchestra,2,low,false,
Drakulina,Drakulina,2,low,false,
Drossabilly Buzz,Drossabilly Buzz,2,low,false,
Duane Eddy,Duane Eddy,2,low,false,
Duke Ellington & John Coltrane,Duke Ellington & John Coltrane,2,low,false,
Eddie Holman,Eddie Holman,2,low,false,
Eddie Vedder,Eddie Vedder,2,low,false,
El Borko,El Borko,2,low,false,
El Castillo,El Castillo,2,low,false,
El Pistolero`s,El Pistolero`s,2,low,false,
El Ray,El Ray,2,low,false,
Elmer Bernstein,Elmer Bernstein,2,low,false,
Elvis Perkins,Elvis Perkins,2,low,false,
Enric Peidro,Enric Peidro,2,low,false,
Esquivel & His Orchestra,Esquivel & His Orchestra,2,low,false,
Evelyn Cornell,Evelyn Cornell,2,low,false,
Evil Elvis,Evil Elvis,2,low,false,
Fats Domino,Fats Domino,2,low,false,
Five Boroughs,Five Boroughs,2,low,false,
Franco Tonani,Franco Tonani,2,low,false,
Freno De Pedales,Freno De Pedales,2,low,false,
Furious Nakamura,Furious Nakamura,2,low,false,
Gentlemen & Gangsters,Gentlemen & Gangsters,2,low,false,
Girly and The Blue Caps,Girly and The Blue Caps,2,low,false,
Gladys Knight & The Pips,Gladys Knight & The Pips,2,low,false,
Glasgow Tiki Shakers,Glasgow Tiki Shakers,2,low,false,
Glenn Crytzer and His Quartet,Glenn Crytzer and His Quartet,2,low,false,
God Of Surf,God Of Surf,2,low,false,
Grace Cummings,Grace Cummings,2,low,false,
Graham Nash,Graham Nash,2,low,false,
Guitar UP!,Guitar UP!,2,low,false,
Harold Melvin & The Blue Notes,Harold Melvin & The Blue Notes,2,low,false,
Harry Chapin,Harry Chapin,2,low,false,
Harry Katz & The Pistachios,Harry Katz & The Pistachios,2,low,false,
Heather Newman,Heather Newman,2,low,false,
Heatwaves & Freddie Dilevi,Heatwaves & Freddie Dilevi,2,low,false,
HEFT,HEFT,2,low,false,
Henry Mancini,Henry Mancini,2,low,false,
Honeyboy Slim & The Bad Habits,Honeyboy Slim & The Bad Habits,2,low,false,
Hot Midnight Combo,Hot Midnight Combo,2,low,false,
Hot Sugar Band & Nicolle Rochelle,Hot Sugar Band & Nicolle Rochelle,2,low,false,
Hugo Montenegro,Hugo Montenegro,2,low,false,
Hula Ghost,Hula Ghost,2,low,false,
Iain Matthews & the Salmon Smokers,Iain Matthews & the Salmon Smokers,2,low,false,
Ike & Tina Turner,Ike & Tina Turner,2,low,false,
Imperial Swing Orchestra,Imperial Swing Orchestra,2,low,false,
Inge Augustina,Inge Augustina,2,low,false,
Insect Surfers,Insect Surfers,2,low,false,
Ivan БлюZ and Dрузі,Ivan БлюZ and Dрузі,2,low,false,
I’m With Her,I’m With Her,2,low,false,
Jack Marshall,Jack Marshall,2,low,false,
Jay & The Americans,Jay & The Americans,2,low,false,
Jay Poisön and the Bat People,Jay Poisön and the Bat People,2,low,false,
Jeffrey Bützer,Jeffrey Bützer,2,low,false,
Jeffrey Silverstein,Jeffrey Silverstein,2,low,false,
Jim Steinman,Jim Steinman,2,low,false,
Jimmy Buffett,Jimmy Buffett,2,low,false,
Joan Osborne,Joan Osborne,2,low,false,
Joan Shelley,Joan Shelley,2,low,false,
Joe Jackson,Joe Jackson,2,low,false,
John Coltrane,John Coltrane,2,low,false,
John Lee Sanders,John Lee Sanders,2,low,false,
John Lennon,John Lennon,2,low,false,
John Prine,John Prine,2,low,false,
Johnny Mathis,Johnny Mathis,2,low,false,
Judy Garland,Judy Garland,2,low,false,
Kelompok Pasir Hitam,Kelompok Pasir Hitam,2,low,false,
Ketty Lester,Ketty Lester,2,low,false,
Kim Lenz,Kim Lenz,2,low,false,
Kim Lenz & Her Jaguars,Kim Lenz & Her Jaguars,2,low,false,
King Beez,King Beez,2,low,false,
King Crimson,King Crimson,2,low,false,
King Curtis,King Curtis,2,low,false,
King Ghidora,King Ghidora,2,low,false,
Kora,Kora,2,low,false,
La Vergne Smith,La Vergne Smith,2,low,false,
Las Mucuras,Las Mucuras,2,low,false,
Last Call at Nightowls,Last Call at Nightowls,2,low,false,
Lesiman,Lesiman,2,low,false,
Lewis Burner,Lewis Burner,2,low,false,
Liberace,Liberace,2,low,false,
Lilly Hiatt,Lilly Hiatt,2,low,false,
Liz Simmons,Liz Simmons,2,low,false,
Longboard Cruise Control,Longboard Cruise Control,2,low,false,
Los Seisiete,Los Seisiete,2,low,false,
Los Surfer Compadres,Los Surfer Compadres,2,low,false,
Louis Armstrong & Ella Fitzgerald,Louis Armstrong & Ella Fitzgerald,2,low,false,
Louis Jordan,Louis Jordan,2,low,false,
Louisa Stancioff,Louisa Stancioff,2,low,false,
Lucky Bar,Lucky Bar,2,low,false,
Lulu,Lulu,2,low,false,
Lydia Lunch,Lydia Lunch,2,low,false,
Lynyrd Skynyrd,Lynyrd Skynyrd,2,low,false,
Macelleria Mobile di Mezzanotte,Macelleria Mobile di Mezzanotte,2,low,false,
Mad Sin,Mad Sin,2,low,false,
Man or Astro-Man,Man or Astro-Man,2,low,false,
Manet,Manet,2,low,false,
Manos Wild,Manos Wild,2,low,false,
Manu Chao,Manu Chao,2,low,false,
Many Mountains,Many Mountains,2,low,false,
Margie Joseph,Margie Joseph,2,low,false,
Marissa Nadler and Milky Burgess,Marissa Nadler and Milky Burgess,2,low,false,
Mark Lanegan,Mark Lanegan,2,low,false,
Mark Lanegan And The Soulsavers,Mark Lanegan And The Soulsavers,2,low,false,
Marlene Dietrich,Marlene Dietrich,2,low,false,
Marty Cooper Clan,Marty Cooper Clan,2,low,false,
Mary Chapin Carpenter,Mary Chapin Carpenter,2,low,false,
Mary Hopkin,Mary Hopkin,2,low,false,
Matchbox,Matchbox,2,low,false,
Matthews Southern Comfort,Matthews Southern Comfort,2,low,false,
Max Paragraph,Max Paragraph,2,low,false,
Melissa Carper,Melissa Carper,2,low,false,
Micah P. Hinson and The Gospel of Progress,Micah P. Hinson and The Gospel of Progress,2,low,false,
Michael Stipe,Michael Stipe,2,low,false,
Mike Brookfield,Mike Brookfield,2,low,false,
Millie Jackson,Millie Jackson,2,low,false,
Miranda Lambert,Miranda Lambert,2,low,false,
Miss Kiddy and the Cads,Miss Kiddy and the Cads,2,low,false,
Molliemusicable,Molliemusicable,2,low,false,
Molly Starlite & the Sputniks,Molly Starlite & the Sputniks,2,low,false,
Molly Tuttle & Crooked Tree,Molly Tuttle & Crooked Tree,2,low,false,
Molly Tuttle & Golden Highway,Molly Tuttle & Golden Highway,2,low,false,
Monica Taylor,Monica Taylor,2,low,false,
Morgan Wade & OurVinyl,Morgan Wade & OurVinyl,2,low,false,
Mr.Black & The 5000 Cadillacs,Mr.Black & The 5000 Cadillacs,2,low,false,
Mudslide Charley,Mudslide Charley,2,low,false,
Mutilators,Mutilators,2,low,false,
Naomi Bedford and Paul Simmonds,Naomi Bedford and Paul Simmonds,2,low,false,
Neil Young,Neil Young,2,low,false,
Neko Case,Neko Case,2,low,false,
Nekromantix,Nekromantix,2,low,false,
Nick Curran & The Nitelifes,Nick Curran & The Nitelifes,2,low,false,
Nick Drake,Nick Drake,2,low,false,
Nick Lemon Band,Nick Lemon Band,2,low,false,
Nick Waterhouse,Nick Waterhouse,2,low,false,
Nikki Parrott,Nikki Parrott,2,low,false,
Nina Hagen,Nina Hagen,2,low,false,
Norm & Jean,Norm & Jean,2,low,false,
Old Wood Tatter,Old Wood Tatter,2,low,false,
Otis Redding,Otis Redding,2,low,false,
Panty Tsunami,Panty Tsunami,2,low,false,
Patsy Cline,Patsy Cline,2,low,false,
Paul Mauriat,Paul Mauriat,2,low,false,
Paul Weller,Paul Weller,2,low,false,
Perla Batalla,Perla Batalla,2,low,false,
Peter & the Wolves,Peter & the Wolves,2,low,false,
Peter Green,Peter Green,2,low,false,
"Peter, Paul and Mary","Peter, Paul and Mary",2,low,false,
Phil Gammage,Phil Gammage,2,low,false,
Playboys,Playboys,2,low,false,
Polecats,Polecats,2,low,false,
PowerSolo,PowerSolo,2,low,false,
Public Image Limited,Public Image Limited,2,low,false,
Ralph Font & His Orchestra,Ralph Font & His Orchestra,2,low,false,
Ramones,Ramones,2,low,false,
Rebekah Del Rio,Rebekah Del Rio,2,low,false,
Rezurex,Rezurex,2,low,false,
Rick Nelson,Rick Nelson,2,low,false,
Riley Downing,Riley Downing,2,low,false,
Rio and the Rockabilly Revival,Rio and the Rockabilly Revival,2,low,false,
Robert Cray,Robert Cray,2,low,false,
Robert Plant and Allison Krauss,Robert Plant and Allison Krauss,2,low,false,
Robotron,Robotron,2,low,false,
Rock'N'Hall,Rock'N'Hall,2,low,false,
Rollin' Coffin,Rollin' Coffin,2,low,false,
Roomful Of Blues,Roomful Of Blues,2,low,false,
Roxy Music,Roxy Music,2,low,false,
Rufus Wainwright,Rufus Wainwright,2,low,false,
Sam & Dave,Sam & Dave,2,low,false,
"Samantha Fish, Jesse Dayton","Samantha Fish, Jesse Dayton",2,low,false,
Sammy Kershaw,Sammy Kershaw,2,low,false,
Sarah Brightman,Sarah Brightman,2,low,false,
Say Sue Me,Say Sue Me,2,low,false,
Say Sue Me 세이수미,Say Sue Me 세이수미,2,low,false,
Screamin' Sins,Screamin' Sins,2,low,false,
Season Of Nightmares,Season Of Nightmares,2,low,false,
Sgt Fury,Sgt Fury,2,low,false,
Shakin Guts,Shakin Guts,2,low,false,
Shakin' Guts,Shakin' Guts,2,low,false,
Sharlet Crooks,Sharlet Crooks,2,low,false,
Shaye Zadravec,Shaye Zadravec,2,low,false,
Shelby Lynne & Allison Moorer,Shelby Lynne & Allison Moorer,2,low,false,
Sheverb,Sheverb,2,low,false,
Shovels and Rope,Shovels and Rope,2,low,false,
Shudder To Think,Shudder To Think,2,low,false,
Silvano Chimenti,Silvano Chimenti,2,low,false,
Simon and Garfunkel,Simon and Garfunkel,2,low,false,
Sofia Talvik,Sofia Talvik,2,low,false,
Solomon Burke,Solomon Burke,2,low,false,
Sonny & Cher,Sonny & Cher,2,low,false,
Spud Sims & the Beltways,Spud Sims & the Beltways,2,low,false,
Stan Getz,Stan Getz,2,low,false,
Steve Harley & Cockney Rebel,Steve Harley & Cockney Rebel,2,low,false,
Strait Jacket,Strait Jacket,2,low,false,
Strawberry Alarm Clock,Strawberry Alarm Clock,2,low,false,
Sue Moreno & Jack Rabbit Slim,Sue Moreno & Jack Rabbit Slim,2,low,false,
Surfer Joe,Surfer Joe,2,low,false,
Susanna Hoffs,Susanna Hoffs,2,low,false,
Sven Wunder,Sven Wunder,2,low,false,
T-Bird Gang,T-Bird Gang,2,low,false,
T-Bone Walker,T-Bone Walker,2,low,false,
Take Vibe,Take Vibe,2,low,false,
Tangentg,Tangentg,2,low,false,
Teddy Pendergrass,Teddy Pendergrass,2,low,false,
Television,Television,2,low,false,
Thalia Zedek Band,Thalia Zedek Band,2,low,false,
The Andrews Sisters,The Andrews Sisters,2,low,false,
The Aqua Barons,The Aqua Barons,2,low,false,
The Astronauts,The Astronauts,2,low,false,
The Bel-Airs,The Bel-Airs,2,low,false,
The Big Marteen's,The Big Marteen's,2,low,false,
The Blue Flagships,The Blue Flagships,2,low,false,
The Boomtown Rats,The Boomtown Rats,2,low,false,
The Bradipos IV,The Bradipos IV,2,low,false,
The Brains,The Brains,2,low,false,
The Caravans,The Caravans,2,low,false,
The Cheapoes,The Cheapoes,2,low,false,
The Cholla,The Cholla,2,low,false,
The Coffin Daggers,The Coffin Daggers,2,low,false,
The Courettes,The Courettes,2,low,false,
The Cranberries,The Cranberries,2,low,false,
The Dead Brothers,The Dead Brothers,2,low,false,
The Dells,The Dells,2,low,false,
The Di Maggio Connection,The Di Maggio Connection,2,low,false,
The Easybeats,The Easybeats,2,low,false,
The Everly Brothers,The Everly Brothers,2,low,false,
The Flower Pot Men,The Flower Pot Men,2,low,false,
The Frantic Flintstones,The Frantic Flintstones,2,low,false,
The Go Getters,The Go Getters,2,low,false,
The Head Henchmen,The Head Henchmen,2,low,false,
The Hot Wheels,The Hot Wheels,2,low,false,
